country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Gambia,GMB,31-10-2021,265620,234467,220502,,1271,10.68,9.43,8.87,511,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Georgia,GEO,31-10-2021,,,,,4638,,,,1165,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,31-10-2021,112020662,57749281,55503412,15819,153325,133.52,68.83,66.15,1827,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,31-10-2021,,,,,28098,,,,885,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Gibraltar,GIB,31-10-2021,,,,,386,,,,11457,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1460586396742262785
Greece,GRC,31-10-2021,12690809,6638806,6373459,351,18968,122.37,64.01,61.46,1829,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,31-10-2021,,,,,20,,,,352,Moderna,Government of Greenland,https://corona.nun.gl
Grenada,GRD,31-10-2021,,,,,220,,,,1947,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Guatemala,GTM,31-10-2021,8596046,5331029,3265017,13043,38066,47.1,29.21,17.89,2086,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,31-10-2021,,,,,67,,,,1057,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,31-10-2021,2247181,1513854,733327,,11039,16.65,11.22,5.43,818,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1458701221368406020
Guinea-Bissau,GNB,31-10-2021,139369,127719,11650,,1633,6.91,6.34,0.58,810,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Guyana,GUY,31-10-2021,,,,,1550,,,,1961,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2732105440426318/
Haiti,HTI,31-10-2021,135597,96262,39676,,2539,1.17,0.83,0.34,220,"Johnson&Johnson, Moderna",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Honduras,HND,31-10-2021,,,,,43612,,,,4334,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Hong Kong,HKG,31-10-2021,9043407,4617718,4425382,6302,9189,119.74,61.14,58.59,1217,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,31-10-2021,12744317,5955207,5736378,,21169,132.28,61.81,59.54,2197,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-8-ezer-beoltott-10-265-az-uj-fertozott-elhunyt-178-beteg
Iceland,ISL,31-10-2021,,,,,482,,,,1404,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,31-10-2021,1062631351,733542729,329088622,4141918,5766214,76.26,52.64,23.62,4138,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,31-10-2021,193361231,119662248,73698983,918725,1773289,69.97,43.3,26.67,6417,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
Iran,IRN,31-10-2021,,,,,980753,,,,11534,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://www.isna.ir/news/1400082216920
Iraq,IRQ,31-10-2021,,,,,66327,,,,1611,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Ireland,IRL,31-10-2021,,,,,2710,,,,544,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,31-10-2021,,,,,90,,,,1054,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,31-10-2021,15931367,6239284,5734464,12896,10585,171.47,67.15,61.72,1139,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,31-10-2021,89862609,46620437,43130507,59861,154332,148.86,77.23,71.45,2557,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,31-10-2021,919992,591859,378054,3451,3766,30.94,19.9,12.71,1267,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,31-10-2021,189319619,98090221,91229398,,605801,150.19,77.82,72.38,4806,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jersey,JEY,31-10-2021,172720,78947,74651,,514,170.89,78.11,73.86,5085,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
Jordan,JOR,31-10-2021,7476831,3950145,3526686,18143,17437,72.81,38.47,34.34,1698,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Jordan,https://corona.moh.gov.jo/ar
Kazakhstan,KAZ,31-10-2021,15782394,8291167,7491227,32230,43536,83.09,43.65,39.44,2292,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,31-10-2021,5321880,3688884,1632996,14699,53920,9.68,6.71,2.97,981,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2021/11/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-15TH-NOVEMBER-2021.pdf
Kiribati,KIR,31-10-2021,,,,,464,,,,3822,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Kosovo,OWID_KOS,31-10-2021,,,,,4445,,,,2494,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2139656159525293/
Kyrgyzstan,KGZ,31-10-2021,1741064,983749,754624,12094,10561,26.27,14.84,11.38,1593,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Latvia,LVA,31-10-2021,1948859,1161647,1015323,2807,10800,104.39,62.22,54.38,5785,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,31-10-2021,,,,,16939,,,,2502,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Liberia,LBR,31-10-2021,438430,365900,344837,,9400,8.46,7.06,6.66,1815,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Libya,LBY,31-10-2021,1988280,1545739,442541,,17758,28.57,22.21,6.36,2552,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Liechtenstein,LIE,31-10-2021,48727,25072,24441,0,62,127.38,65.54,63.89,1621,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,31-10-2021,3394983,1811798,1724709,589,6377,126.21,67.36,64.12,2371,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Luxembourg,LUX,31-10-2021,,,,,2250,,,,3544,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/en/datasets/donnees-covid19/#_
Macao,MAC,31-10-2021,,,,,3479,,,,5284,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/830634/
Malawi,MWI,31-10-2021,1238209,975341,556336,3009,7074,6.3,4.96,2.83,360,"Johnson&Johnson, Oxford/AstraZeneca",Ministry of Health,https://twitter.com/health_malawi/status/1460650440228589569
Malaysia,MYS,31-10-2021,49746687,25487541,24359712,6047,119472,151.78,77.76,74.32,3645,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/CITF-Malaysia/citf-public
Maldives,MDV,31-10-2021,752341,394574,357767,461,498,138.39,72.58,65.81,916,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1460659367083053058
Mali,MLI,31-10-2021,,,,,1084,,,,52,Oxford/AstraZeneca,World Health Organization,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3106082909621206
Malta,MLT,31-10-2021,879909,430283,428333,1187,1727,170.49,83.37,82.99,3346,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,31-10-2021,,,,,19898,,,,4167,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Mauritius,MUS,31-10-2021,,,,,2600,,,,2042,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Mexico,MEX,31-10-2021,126339370,74607721,60565545,243451,1593341,96.99,57.28,46.5,12232,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/682081/2021.11.16_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,31-10-2021,1520548,,873078,2287,4748,37.79,,21.7,1180,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,31-10-2021,4395278,2255448,2139830,,418,132.02,67.75,64.27,126,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,31-10-2021,500759,257443,243316,421,950,79.73,40.99,38.74,1513,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Montserrat,MSR,31-10-2021,,,,,1,,,,201,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Morocco,MAR,31-10-2021,47633925,24198013,22041110,,219948,127.55,64.8,59.02,5890,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Mozambique,MOZ,31-10-2021,5871057,3667470,2203587,,235836,18.25,11.4,6.85,7333,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Myanmar,MMR,31-10-2021,20299011,13244996,7054015,,276238,37.04,24.17,12.87,5040,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Namibia,NAM,31-10-2021,,,,,4789,,,,1851,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Nepal,NPL,31-10-2021,,,,,84818,,,,2858,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Netherlands,NLD,31-10-2021,,13033424,12512650,,20324,,75.89,72.86,1183,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the Netherlands,https://coronadashboard.government.nl/landelijk/vaccinaties
