country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,16-10-2021,,,,,36635,,,,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Albania,ALB,16-10-2021,,,,,5205,,,,1812,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-2000104-vaksinime/
Algeria,DZA,16-10-2021,,,,,35543,,,,797,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Andorra,AND,16-10-2021,,,,,66,,,,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Angola,AGO,16-10-2021,,,,,99953,,,,2946,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Anguilla,AIA,16-10-2021,,,,,0,,,,0,Oxford/AstraZeneca,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,ATG,16-10-2021,101390,55103,46287,,364,102.7,55.81,46.88,3687,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag
Argentina,ARG,16-10-2021,55605668,31177414,24514822,501961,255095,121.93,68.36,53.75,5593,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Armenia,ARM,16-10-2021,,,,,14687,,,,4948,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Aruba,ABW,16-10-2021,,,,,109,,,,1017,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,16-10-2021,32418073,18170223,14245406,195901,277166,125.71,70.46,55.24,10748,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,16-10-2021,11244697,5824395,5542845,11242,18755,124.35,64.41,61.29,2074,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline.csv
Azerbaijan,AZE,16-10-2021,,,,,29064,,,,2843,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,16-10-2021,,,,,1820,,,,4585,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,16-10-2021,2700105,1170546,1132855,4334,6914,154.44,66.95,64.8,3955,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,16-10-2021,56133021,37450120,18682901,,407482,33.75,22.52,11.23,2450,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,16-10-2021,261495,144981,116514,842,1134,90.89,50.39,40.5,3941,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/photo?fbid=257008643132011&set=a.248616513971224
Belarus,BLR,16-10-2021,,,,,38347,,,,4061,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Belgium,BEL,16-10-2021,16797482,8672242,8522893,11130,7921,144.4,74.55,73.27,681,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,16-10-2021,,,,,1738,,,,4292,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Benin,BEN,16-10-2021,,,,,2137,,,,172,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.who.int/
Bermuda,BMU,16-10-2021,,,,,97,,,,1562,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,16-10-2021,,,,,1779,,,,2281,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Bolivia,BOL,16-10-2021,,,,,32141,,,,2716,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.unidoscontraelcovid.gob.bo
Bosnia and Herzegovina,BIH,16-10-2021,,,,,7419,,,,2273,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.slobodnaevropa.org/a/bih-vakcine-unistavanje-vakcinacija/31555241.html
Botswana,BWA,16-10-2021,,,,,13626,,,,5684,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Brazil,BRA,16-10-2021,,,,,1273086,,,,5949,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19_Vacina_V2/DEMAS_C19_Vacina_v2.html
British Virgin Islands,VGB,16-10-2021,,,,,32,,,,1052,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Brunei,BRN,16-10-2021,,,,,4831,,,,10941,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=1100&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2
Bulgaria,BGR,16-10-2021,2626708,,1383964,2925,5602,38.09,,20.07,812,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,16-10-2021,,,,,5541,,,,258,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Cambodia,KHM,16-10-2021,26438825,13585319,12541420,202889,252504,156.01,80.17,74.01,14900,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/photos/a.930887636950343/4587195707986166/
Cameroon,CMR,16-10-2021,,,,,1140,,,,42,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Canada,CAN,16-10-2021,57584787,29536806,27692198,49085,76596,151.27,77.59,72.74,2012,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,16-10-2021,,,,,1494,,,,2659,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,16-10-2021,,,,,190,,,,2857,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Central African Republic,CAF,16-10-2021,,,,,7781,,,,1582,"Covaxin, Oxford/AstraZeneca",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chad,TCD,16-10-2021,,,,,2602,,,,154,Sinopharm/Beijing,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chile,CHL,16-10-2021,34225631,16143996,14389596,6112,116645,178.14,84.03,74.9,6071,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://github.com/MinCiencia/Datos-COVID19
China,CHN,16-10-2021,2230567000,,,1355000,1491286,154.45,,,1033,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202111/806a0ebc9df947b7b2ec43a45d88b8c1.shtml
Colombia,COL,16-10-2021,,,,,231440,,,,4515,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,16-10-2021,,,,,4406,,,,4959,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Congo,COG,16-10-2021,,,,,3181,,,,562,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Cook Islands,COK,16-10-2021,,,,,73,,,,4154,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,16-10-2021,,,,,27314,,,,5315,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,16-10-2021,,,,,35917,,,,1328,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Croatia,HRV,16-10-2021,3520008,1870176,1754676,3395,4833,86.24,45.82,42.99,1184,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,16-10-2021,24464590,9713978,6777771,302496,226963,216.17,85.83,59.89,20054,"Abdala, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,16-10-2021,,,,,198,,,,1201,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,16-10-2021,,,,,2361,,,,2635,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,16-10-2021,11959464,6133237,6032419,3482,8844,111.51,57.19,56.25,825,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Democratic Republic of Congo,COD,16-10-2021,,,,,430,,,,5,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Denmark,DNK,16-10-2021,,4462980,4393107,,2118,,76.77,75.57,364,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Djibouti,DJI,16-10-2021,,,,,592,,,,591,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Dominica,DMA,16-10-2021,,,,,135,,,,1871,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Dominican Republic,DOM,16-10-2021,12472126,6290568,5082077,37514,50793,113.86,57.43,46.4,4637,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
Ecuador,ECU,16-10-2021,21405209,11748955,10052820,8743,34398,119.66,65.68,56.2,1923,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://covid19.who.int/
Egypt,EGY,16-10-2021,,,,,335868,,,,3221,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
El Salvador,SLV,16-10-2021,,,,,28286,,,,4339,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,16-10-2021,83008570,41389496,38022391,335905,230583,146.79,73.19,67.24,4078,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Equatorial Guinea,GNQ,16-10-2021,419386,237751,181635,,1332,28.93,16.4,12.53,919,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Estonia,EST,16-10-2021,1397892,770391,738438,1116,1706,105.49,58.13,55.72,1287,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Eswatini,SWZ,16-10-2021,,,,,1742,,,,1486,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Ethiopia,ETH,16-10-2021,3985549,3040483,945066,8898,15936,3.38,2.58,0.8,135,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1460670087279558658
Faeroe Islands,FRO,16-10-2021,,,,,80,,,,1631,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Fiji,FJI,16-10-2021,,,,,6524,,,,7226,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,16-10-2021,7884935,4181337,3703598,21621,14739,142.11,75.36,66.75,2656,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,16-10-2021,97372740,50962091,45417390,110514,135194,144.12,75.43,67.22,2001,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,16-10-2021,,,,,606,,,,2145,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Gabon,GAB,16-10-2021,,,,,2500,,,,1097,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Gambia,GMB,16-10-2021,,,,,1646,,,,662,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Georgia,GEO,16-10-2021,,,,,6512,,,,1636,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,16-10-2021,110035823,57279354,54729913,41375,130849,131.15,68.27,65.23,1560,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,16-10-2021,,,,,38428,,,,1211,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Gibraltar,GIB,16-10-2021,,,,,368,,,,10923,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1460586396742262785
Greece,GRC,16-10-2021,12393460,6542732,6301143,17105,13798,119.5,63.09,60.76,1330,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,16-10-2021,,,,,49,,,,862,Moderna,Government of Greenland,https://corona.nun.gl
Grenada,GRD,16-10-2021,,,,,453,,,,4008,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Guatemala,GTM,16-10-2021,8036610,5047669,2988941,25998,59707,44.04,27.66,16.38,3272,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,16-10-2021,,,,,31,,,,489,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,16-10-2021,,,,,18736,,,,1388,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1458701221368406020
Guinea-Bissau,GNB,16-10-2021,,,,,287,,,,142,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Guyana,GUY,16-10-2021,,,,,1898,,,,2402,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2732105440426318/
Haiti,HTI,16-10-2021,,,,,1650,,,,143,"Johnson&Johnson, Moderna",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Honduras,HND,16-10-2021,,,,,39528,,,,3928,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Hong Kong,HKG,16-10-2021,8893590,4558774,4334743,18513,13150,117.75,60.36,57.39,1741,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,16-10-2021,,,,,18389,,,,1909,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-8-ezer-beoltott-10-265-az-uj-fertozott-elhunyt-178-beteg
Iceland,ISL,16-10-2021,,,,,621,,,,1809,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,16-10-2021,972686142,693992112,278694030,1522695,4236032,69.81,49.81,20,3040,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,16-10-2021,168836886,106669970,62166916,1975145,1793561,61.09,38.6,22.49,6490,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
Iran,IRN,16-10-2021,,,,,1177837,,,,13852,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://www.isna.ir/news/1400082216920
Iraq,IRQ,16-10-2021,,,,,39954,,,,970,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Ireland,IRL,16-10-2021,7289330,3794281,3731280,4575,2886,146.29,76.15,74.88,579,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,16-10-2021,,,,,120,,,,1405,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,16-10-2021,15751839,6208070,5704708,5631,19479,169.54,66.82,61.4,2097,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,16-10-2021,87549538,46203712,42229394,170006,181270,145.03,76.54,69.95,3003,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,16-10-2021,,,,,5555,,,,1868,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,16-10-2021,,,,,823952,,,,6537,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jersey,JEY,16-10-2021,,,,,543,,,,5372,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
Jordan,JOR,16-10-2021,7226625,3817869,3408756,11645,10430,70.37,37.18,33.19,1016,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Jordan,https://corona.moh.gov.jo/ar
Kazakhstan,KAZ,16-10-2021,15101387,8003776,7097611,65663,57833,79.5,42.14,37.37,3045,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,16-10-2021,4500179,3291192,1208987,18000,45232,8.18,5.99,2.2,823,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2021/11/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-15TH-NOVEMBER-2021.pdf
Kiribati,KIR,16-10-2021,,,,,978,,,,8057,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Kosovo,OWID_KOS,16-10-2021,1497408,831143,666265,7730,9325,84.02,46.64,37.39,5233,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2139656159525293/
Kyrgyzstan,KGZ,16-10-2021,1592816,906083,685013,3152,9330,24.03,13.67,10.33,1408,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,16-10-2021,,,,,,,,,,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://www.facebook.com/photo/?fbid=249464647216471&set=a.228059059357030
Latvia,LVA,16-10-2021,1782590,1026495,937341,12565,11645,95.48,54.98,50.21,6237,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,16-10-2021,3108316,1696421,1411895,466,12537,45.92,25.06,20.86,1852,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Liberia,LBR,16-10-2021,,,,,17081,,,,3297,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Libya,LBY,16-10-2021,,,,,12825,,,,1843,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Liechtenstein,LIE,16-10-2021,47243,24790,23169,0,23,123.5,64.8,60.57,601,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,16-10-2021,3309396,1779800,1693170,1212,5029,123.03,66.17,62.95,1870,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Luxembourg,LUX,16-10-2021,806013,424648,,1389,999,126.97,66.89,,1574,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/en/datasets/donnees-covid19/#_
Macao,MAC,16-10-2021,739977,417135,325440,,4259,112.39,63.36,49.43,6469,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/830634/
Madagascar,MDG,16-10-2021,,,,,6154,,,,216,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/
Malawi,MWI,16-10-2021,1145420,892844,518477,3135,4993,5.83,4.54,2.64,254,"Johnson&Johnson, Oxford/AstraZeneca",Ministry of Health,https://twitter.com/health_malawi/status/1460650440228589569
Malaysia,MYS,16-10-2021,47591602,25200152,22553680,132235,181082,145.2,76.89,68.81,5525,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/CITF-Malaysia/citf-public
Maldives,MDV,16-10-2021,744848,393679,351169,,828,137.02,72.42,64.6,1523,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1460659367083053058
Mali,MLI,16-10-2021,,,,,10488,,,,503,Oxford/AstraZeneca,World Health Organization,https://www.facebook.com/msdsmali1/photos/a.1773051416257702/3106082909621206
Malta,MLT,16-10-2021,852233,425683,425020,1697,1800,165.13,82.48,82.35,3488,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,16-10-2021,,,,,6616,,,,1386,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Mauritius,MUS,16-10-2021,,,,,3317,,,,2605,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Mexico,MEX,16-10-2021,,,,,471626,,,,3621,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/682081/2021.11.16_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,16-10-2021,1456392,,827724,2092,3213,36.19,,20.57,798,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,16-10-2021,,,,,510,,,,153,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,16-10-2021,483790,252969,230821,2968,1595,77.03,40.28,36.75,2540,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Montserrat,MSR,16-10-2021,,,,,1,,,,201,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Morocco,MAR,16-10-2021,,,,,220800,,,,5912,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Mozambique,MOZ,16-10-2021,,,,,13266,,,,412,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
